iter	Passed	Remaining
0	120	120173
1	121	60749
2	123	41073
3	125	31326
4	127	25378
5	128	21363
6	130	18497
7	131	16319
8	133	14683
9	136	13510
10	138	12460
11	141	11626
12	142	10849
13	144	10173
14	145	9581
15	147	9059
16	150	8690
17	151	8286
18	153	7903
19	154	7557
20	155	7246
21	156	6959
22	157	6700
23	158	6462
24	159	6237
25	160	6028
26	161	5832
27	163	5663
28	165	5536
29	166	5392
30	168	5263
31	169	5122
32	170	4992
33	171	4876
34	172	4768
35	174	4660
36	175	4560
37	176	4473
38	177	4385
39	179	4298
40	180	4211
41	180	4127
42	181	4049
43	182	3971
44	183	3899
45	185	3846
46	186	3780
47	187	3719
48	188	3661
49	189	3603
50	190	3545
51	191	3492
52	193	3453
53	194	3414
54	196	3373
55	197	3326
56	198	3279
57	199	3234
58	200	3196
59	201	3156
60	202	3115
61	203	3076
62	204	3040
63	205	3011
64	207	2978
65	208	2945
66	209	2912
67	209	2877
68	210	2843
69	211	2810
70	212	2779
71	213	2753
72	214	2723
73	215	2695
74	216	2669
75	217	2644
76	218	2619
77	219	2593
78	220	2570
79	221	2547
80	222	2528
81	224	2512
82	225	2490
83	226	2470
84	227	2448
85	228	2428
86	229	2407
87	230	2390
88	232	2375
89	233	2357
90	234	2340
91	235	2323
92	237	2312
93	238	2300
94	243	2317
95	244	2301
96	245	2286
97	246	2270
98	247	2253
99	248	2237
100	249	2224
101	250	2209
102	252	2195
103	253	2179
104	253	2164
105	254	2150
106	255	2135
107	257	2122
108	259	2120
109	260	2107
110	261	2095
111	262	2083
112	263	2071
113	265	2060
114	266	2048
115	267	2036
116	267	2022
117	268	2010
118	269	1998
119	270	1986
120	271	1974
121	272	1961
122	273	1950
123	274	1941
124	276	1932
125	277	1923
126	278	1911
127	279	1902
128	280	1893
129	281	1885
130	282	1876
131	283	1866
132	284	1856
133	285	1845
134	286	1836
135	287	1827
136	288	1817
137	289	1809
138	290	1800
139	291	1792
140	293	1785
141	293	1774
142	295	1769
143	296	1763
144	297	1755
145	298	1746
146	299	1739
147	300	1731
148	301	1723
149	302	1716
150	304	1709
151	304	1701
152	306	1694
153	307	1688
154	308	1681
155	309	1674
156	310	1669
157	312	1663
158	313	1656
159	314	1649
160	314	1640
161	315	1634
162	316	1627
163	317	1619
164	318	1613
165	319	1607
166	321	1601
167	322	1596
168	323	1590
169	324	1584
170	325	1579
171	326	1574
172	327	1567
